Size	   Bubble Sort	Selection Sort	Insertion Sort
50	 118369.4 	    44384.656	       64847.156
100	 41692.113	    16543.29 	       81751.66
150	 137158.7	        54368.266 	       77824.664
200	 162613.81	    60876.746 	       40073.23
250	 239697.72	    88471.76 	       61930.145
300	 304700.06	    108045.11	       71620.86
350	 422606.8 	    145291.48	       96860.4
400	 479147.3 	    165897.31	       106792.14
450	 660085.44	    220824.88	       150737.64
500	 783194.6 	    259219.02	       172804.8
550	 908856.4 	    298113.4 	       200795.66
600	 1097329.8	    355142.03	       240242.58
650	 1226658.8	    402105.97	       269815.38
700	 1414947.6	    460419.28	       312042.47
750	 1632166.9	    525437.44	       357507.62
800	 1776315.6	    573028.25	       389117.4
850	 2045239.9	    655374.06	       448650.16
900	 2329186.0	    760570.5 	       513509.12
950	 2604004.8	    832161.75	       572673.9
1000	 2930799.8	    931085.2 	       642900.9
